source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,gcns_prob,dist_50
121967317336980992,18.68147,20.916197,17.24803,1.6687095,1.0,0.09626063
115644438283026176,13.14853,14.134598,12.16217,1.3365753,1.0,0.08590408
118590476610094336,19.674011,21.650589,18.202494,1.7498164,1.0,0.1055036
118562469127457152,13.334327,14.466766,12.275243,1.3720254,1.0,0.08282694
118621640892464256,16.09377,17.69845,14.869268,1.465628,1.0,0.09823204
118622774763816576,13.237312,14.296959,12.213105,1.354453,1.0,0.085636295
118622946562508160,15.431768,17.17081,14.179048,1.4806095,1.0,0.085186936
121626223918197632,20.502743,23.485952,18.991222,1.7401052,0.786,0.061824758
121632035009872896,15.403141,16.89994,14.2108345,1.4449228,1.0,0.09121292
121655670214409984,15.7298565,17.374256,14.496526,1.4703029,1.0,0.08625202
121663714688617216,17.433313,19.581041,16.074781,1.5713571,1.0,0.0780386
118736127540721920,13.056848,14.290549,11.956964,1.392022,1.0,0.049261317
121690893241571968,11.314129,11.93483,10.559465,1.2529237,1.0,0.0744102
121691266902954240,11.208532,11.8027725,10.47205,1.2490184,1.0,0.07420703
121733980353492224,16.565567,18.69427,15.205011,1.5758744,1.0,0.05524662
121961613620483584,14.04318,15.566122,12.83715,1.4566318,1.0,0.08172837
