GaiaEDR3,Gmag,BPmag,WDprob,Dist50,Abs_V,BV_Color
2.45535E+18,19.4198,19.9082,0.99,0.09172,14.60747977,0.4884
3.23579E+17,19.6349,20.2383,0.999,0.0874,14.92734284,0.6034
3.23579E+17,19.9136,20.6666,1,0.08901,15.16640599,0.753
2.5595E+18,20.7024,20.8742,0.695,0.11075,15.48068133,0.1718
4.98424E+18,16.7832,16.7528,0.966,0.05529,13.06996705,-0.0304
2.47042E+18,15.7279,15.6711,0.967,0.0562,11.97921842,-0.0568
5.3185E+17,19.0088,19.1226,0.999,0.09225,14.18396813,0.1138
3.20851E+17,17.7437,18.0073,1,0.05779,13.93443653,0.2636
4.68737E+18,17.5203,17.5172,1,0.07785,13.06400692,-0.0031
4.98384E+18,14.6922,14.9673,0.873,0.01845,13.36221815,0.2751
2.93747E+17,16.9343,17.0342,1,0.05503,13.23130244,0.0999
2.56442E+18,18.6065,18.9108,1,0.08376,13.99131666,0.3043
3.72112E+17,16.9074,17.3321,0.946,0.02705,14.74656365,0.4247
2.3538E+18,17.6228,17.7941,1,0.07023,13.39018666,0.1713
4.10416E+17,16.9327,17.0627,1,0.06813,12.76600806,0.13
4.83146E+18,18.988,19.51,0.999,0.08095,14.44691573,0.522
4.06828E+17,19.9174,20.181,0.838,0.1101,14.70846341,0.2636
5.04314E+18,19.237,19.8522,0.999,0.05985,15.35167923,0.6152
2.48486E+18,18.1299,18.3154,1,0.06584,14.03745089,0.1855
2.4584E+18,20.7107,21.0939,0.813,0.10188,15.67025532,0.3832
5.00926E+18,19.0914,19.5935,0.966,0.07876,14.60987146,0.5021
2.35412E+18,20.145,20.5275,0.999,0.11148,14.9090152,0.3825
2.59027E+18,20.6952,20.7845,0.945,0.11654,15.36282493,0.0893
5.04294E+18,20.0817,20.6052,0.999,0.11341,14.80844325,0.5235
4.71221E+18,20.7936,20.9388,0.673,0.11432,15.50298892,0.1452
5.04302E+18,16.8871,16.9315,1,0.06457,12.83694607,0.0444
5.107E+17,20.8058,20.8229,0.906,0.11461,15.50968744,0.0171
5.10694E+17,19.7217,20.3535,0.999,0.0861,15.04668424,0.6318
2.59388E+18,17.1505,17.2588,1,0.06072,13.23384119,0.1083
2.35381E+18,19.9352,20.3087,0.999,0.11269,14.67577311,0.3735
3.17317E+17,18.4069,18.8486,1,0.06632,14.29867741,0.4417
2.48252E+18,19.6116,19.9779,0.976,0.09795,14.6565778,0.3663
5.35488E+17,20.542,20.9688,0.995,0.10224,15.4938958,0.4268
2.45556E+18,19.5631,19.5249,0.772,0.11368,14.28467968,-0.0382
5.60554E+17,19.3642,19.8793,0.999,0.07062,15.11956143,0.5151
4.93416E+18,16.1383,16.4569,0.971,0.02163,14.4630174,0.3186
5.04033E+18,18.3584,18.485,0.958,0.07584,13.95890838,0.1266
4.63761E+18,16.5283,16.7076,1,0.04378,13.32192121,0.1793
5.03708E+18,14.9601,15.12,0.904,0.01657,13.86348746,0.1599
4.91453E+18,17.7834,18.022,1,0.06538,13.70617542,0.2386
4.90989E+18,20.32,20.8826,0.985,0.1109,15.09534227,0.5626
5.35631E+17,20.311,20.6044,0.969,0.10806,15.14267518,0.2934
4.9297E+18,18.4592,18.6272,1,0.097,13.52534133,0.168
4.68643E+18,19.6663,20.0218,0.996,0.09535,14.76969651,0.3555
5.03639E+18,20.4641,20.9564,0.986,0.11105,15.23650719,0.4923
5.01681E+18,18.3474,18.4692,1,0.09259,13.51457958,0.1218
2.4579E+18,17.1829,17.2151,1,0.09084,12.39151437,0.0322
5.04294E+18,20.7998,20.9624,0.68,0.10292,15.73730111,0.1626
3.72147E+17,18.1906,18.4723,1,0.05972,14.310001,0.2817
4.90982E+18,20.3123,20.7692,0.979,0.10657,15.17412517,0.4569
4.69264E+18,20.6466,20.9923,0.941,0.1031,15.58030667,0.3457
2.95287E+17,20.2591,20.4448,0.992,0.11349,14.98431202,0.1857
4.71578E+18,18.4634,18.7196,1,0.08048,13.93496016,0.2562
4.71578E+18,19.9685,20.5167,0.999,0.0811,15.42339573,0.5482
5.09285E+17,18.1083,18.2561,0.993,0.07887,13.6237408,0.1478
4.13041E+17,16.3169,16.2899,1,0.097,11.38304133,-0.027
2.45701E+18,20.7527,21.2197,0.835,0.11298,15.48769215,0.467
4.70485E+18,15.5206,15.5157,1,0.05346,11.88045523,-0.0049
5.0094E+18,19.1865,19.5653,0.988,0.10123,14.15995382,0.3788
2.47728E+18,17.9517,18.0691,1,0.10256,12.89680994,0.1174
4.91714E+18,17.0802,17.3297,1,0.04494,13.81703466,0.2495
4.93081E+18,18.8796,20.1705,0.599,0.08104,14.33610284,1.2909
2.90222E+17,18.4843,18.7334,1,0.08386,13.86652571,0.2491
2.56511E+18,17.9896,18.0994,1,0.08348,13.3816878,0.1098
